Scheme,Price,Date
Balanced Fund,0.9118,2008-03-09
Balanced Fund,0.9053,2008-03-10
Balanced Fund,0.9064,2008-03-11
Balanced Fund,0.9119,2008-03-12
Balanced Fund,0.9111,2008-03-13
Balanced Fund,0.9066,2008-03-14
Balanced Fund,0.9066,2008-03-15
Balanced Fund,0.9066,2008-03-16
Balanced Fund,0.8973,2008-03-17
Balanced Fund,0.9057,2008-03-18
Balanced Fund,0.9097,2008-03-19
Balanced Fund,0.903,2008-03-20
Balanced Fund,0.903,2008-03-21
Balanced Fund,0.903,2008-03-22
Balanced Fund,0.903,2008-03-23
Balanced Fund,0.903,2008-03-24
Balanced Fund,0.9152,2008-03-25
Balanced Fund,0.923,2008-03-26
Balanced Fund,0.9198,2008-03-27
Balanced Fund,0.9185,2008-03-28
Balanced Fund,0.9185,2008-03-29
Balanced Fund,0.9185,2008-03-30
Balanced Fund,0.9241,2008-03-31
Balanced Fund,0.9346,2008-04-01
Balanced Fund,0.9382,2008-04-02
Balanced Fund,0.9438,2008-04-03
Balanced Fund,0.9438,2008-04-04
Balanced Fund,0.9438,2008-04-05
Balanced Fund,0.9438,2008-04-06
Balanced Fund,0.9448,2008-04-07
Balanced Fund,0.9441,2008-04-08
Balanced Fund,0.9386,2008-04-09
Balanced Fund,0.9324,2008-04-10
Balanced Fund,0.9325,2008-04-11
Balanced Fund,0.9325,2008-04-12
Balanced Fund,0.9325,2008-04-13
Balanced Fund,0.9263,2008-04-14
Balanced Fund,0.9287,2008-04-15
Balanced Fund,0.9361,2008-04-16
Balanced Fund,0.9417,2008-04-17
Balanced Fund,0.9378,2008-04-18
Balanced Fund,0.9378,2008-04-19
Balanced Fund,0.9378,2008-04-20
Balanced Fund,0.9501,2008-04-21
Balanced Fund,0.9454,2008-04-22
Balanced Fund,0.9446,2008-04-23
Balanced Fund,0.9478,2008-04-24
Balanced Fund,0.9478,2008-04-25
Balanced Fund,0.9478,2008-04-26
Balanced Fund,0.9478,2008-04-27
Balanced Fund,0.9532,2008-04-28
Balanced Fund,0.9543,2008-04-29
Balanced Fund,0.9528,2008-04-30
Balanced Fund,0.9518,2008-05-01
Balanced Fund,0.9593,2008-05-02
Balanced Fund,0.9593,2008-05-03
Balanced Fund,0.9593,2008-05-04
Balanced Fund,0.965,2008-05-05
Balanced Fund,0.9597,2008-05-06
Balanced Fund,0.9603,2008-05-07
Balanced Fund,0.964,2008-05-08
Balanced Fund,0.9653,2008-05-09
Balanced Fund,0.9653,2008-05-10
Balanced Fund,0.9653,2008-05-11
Balanced Fund,0.9663,2008-05-12
Balanced Fund,0.968,2008-05-13
Balanced Fund,0.9688,2008-05-14
Balanced Fund,0.9745,2008-05-15
Balanced Fund,0.9776,2008-05-16
Balanced Fund,0.9776,2008-05-17
Balanced Fund,0.9776,2008-05-18
Balanced Fund,0.9759,2008-05-19
Balanced Fund,0.9777,2008-05-20
Balanced Fund,0.9704,2008-05-21
Balanced Fund,0.9594,2008-05-22
Balanced Fund,0.9595,2008-05-23
Balanced Fund,0.9595,2008-05-24
Balanced Fund,0.9595,2008-05-25
Balanced Fund,0.9529,2008-05-26
Balanced Fund,0.951,2008-05-27
Balanced Fund,0.9532,2008-05-28
Balanced Fund,0.955,2008-05-29
Balanced Fund,0.9579,2008-05-30
Balanced Fund,0.9579,2008-05-31
Balanced Fund,0.9579,2008-06-01
Balanced Fund,0.9579,2008-06-02
Balanced Fund,0.9522,2008-06-03
Balanced Fund,0.9554,2008-06-04
Balanced Fund,0.957,2008-06-05
Balanced Fund,0.9636,2008-06-06
Balanced Fund,0.9636,2008-06-07
Balanced Fund,0.9636,2008-06-08
Balanced Fund,0.9533,2008-06-09
Balanced Fund,0.9513,2008-06-10
Balanced Fund,0.9459,2008-06-11
Balanced Fund,0.935,2008-06-12
Balanced Fund,0.9406,2008-06-13
Balanced Fund,0.9406,2008-06-14
Balanced Fund,0.9406,2008-06-15
Balanced Fund,0.941,2008-06-16
Balanced Fund,0.9449,2008-06-17
Balanced Fund,0.9433,2008-06-18
Balanced Fund,0.937,2008-06-19
Balanced Fund,0.9329,2008-06-20
Balanced Fund,0.9329,2008-06-21
Balanced Fund,0.9329,2008-06-22
Balanced Fund,0.9274,2008-06-23
Balanced Fund,0.9274,2008-06-24
Balanced Fund,0.9243,2008-06-25
Balanced Fund,0.9217,2008-06-26
Balanced Fund,0.9185,2008-06-27
Balanced Fund,0.9185,2008-06-28
Balanced Fund,0.9185,2008-06-29
Balanced Fund,0.9152,2008-06-30
Balanced Fund,0.9129,2008-07-01
Balanced Fund,0.9111,2008-07-02
Balanced Fund,0.9019,2008-07-03
Balanced Fund,0.9065,2008-07-04
Balanced Fund,0.9065,2008-07-05
Balanced Fund,0.9065,2008-07-06
Balanced Fund,0.9014,2008-07-07
Balanced Fund,0.9028,2008-07-08
Balanced Fund,0.9076,2008-07-09
Balanced Fund,0.9005,2008-07-10
Balanced Fund,0.9021,2008-07-11
Balanced Fund,0.9021,2008-07-12
Balanced Fund,0.9021,2008-07-13
Balanced Fund,0.8945,2008-07-14
Balanced Fund,0.8879,2008-07-15
Balanced Fund,0.8814,2008-07-16
Balanced Fund,0.8921,2008-07-17
Balanced Fund,0.8981,2008-07-18
Balanced Fund,0.8981,2008-07-19
Balanced Fund,0.8981,2008-07-20
Balanced Fund,0.9054,2008-07-21
Balanced Fund,0.9057,2008-07-22
Balanced Fund,0.9143,2008-07-23
Balanced Fund,0.9251,2008-07-24
