Scheme,Price,Date
Moderate Fund,0.9502,2008-03-09
Moderate Fund,0.9465,2008-03-10
Moderate Fund,0.9478,2008-03-11
Moderate Fund,0.9517,2008-03-12
Moderate Fund,0.951,2008-03-13
Moderate Fund,0.9485,2008-03-14
Moderate Fund,0.9485,2008-03-15
Moderate Fund,0.9485,2008-03-16
Moderate Fund,0.9428,2008-03-17
Moderate Fund,0.9487,2008-03-18
Moderate Fund,0.9518,2008-03-19
Moderate Fund,0.9478,2008-03-20
Moderate Fund,0.9478,2008-03-21
Moderate Fund,0.9478,2008-03-22
Moderate Fund,0.9478,2008-03-23
Moderate Fund,0.9478,2008-03-24
Moderate Fund,0.9574,2008-03-25
Moderate Fund,0.9622,2008-03-26
Moderate Fund,0.9597,2008-03-27
Moderate Fund,0.9583,2008-03-28
Moderate Fund,0.9583,2008-03-29
Moderate Fund,0.9583,2008-03-30
Moderate Fund,0.9625,2008-03-31
Moderate Fund,0.9695,2008-04-01
Moderate Fund,0.9721,2008-04-02
Moderate Fund,0.9762,2008-04-03
Moderate Fund,0.9762,2008-04-04
Moderate Fund,0.9762,2008-04-05
Moderate Fund,0.9762,2008-04-06
Moderate Fund,0.9775,2008-04-07
Moderate Fund,0.9764,2008-04-08
Moderate Fund,0.9724,2008-04-09
Moderate Fund,0.9679,2008-04-10
Moderate Fund,0.968,2008-04-11
Moderate Fund,0.968,2008-04-12
Moderate Fund,0.968,2008-04-13
Moderate Fund,0.9641,2008-04-14
Moderate Fund,0.9662,2008-04-15
Moderate Fund,0.9712,2008-04-16
Moderate Fund,0.9749,2008-04-17
Moderate Fund,0.9719,2008-04-18
Moderate Fund,0.9719,2008-04-19
Moderate Fund,0.9719,2008-04-20
Moderate Fund,0.9803,2008-04-21
Moderate Fund,0.9766,2008-04-22
Moderate Fund,0.9763,2008-04-23
Moderate Fund,0.9784,2008-04-24
Moderate Fund,0.9784,2008-04-25
Moderate Fund,0.9784,2008-04-26
Moderate Fund,0.9784,2008-04-27
Moderate Fund,0.9819,2008-04-28
Moderate Fund,0.983,2008-04-29
Moderate Fund,0.9826,2008-04-30
Moderate Fund,0.982,2008-05-01
Moderate Fund,0.9877,2008-05-02
Moderate Fund,0.9877,2008-05-03
Moderate Fund,0.9877,2008-05-04
Moderate Fund,0.9913,2008-05-05
Moderate Fund,0.9876,2008-05-06
Moderate Fund,0.9884,2008-05-07
Moderate Fund,0.9911,2008-05-08
Moderate Fund,0.9927,2008-05-09
Moderate Fund,0.9927,2008-05-10
Moderate Fund,0.9927,2008-05-11
Moderate Fund,0.9939,2008-05-12
Moderate Fund,0.995,2008-05-13
Moderate Fund,0.995,2008-05-14
Moderate Fund,0.9986,2008-05-15
Moderate Fund,1.0008,2008-05-16
Moderate Fund,1.0008,2008-05-17
Moderate Fund,1.0008,2008-05-18
Moderate Fund,0.9997,2008-05-19
Moderate Fund,1.0006,2008-05-20
Moderate Fund,0.9958,2008-05-21
Moderate Fund,0.9876,2008-05-22
Moderate Fund,0.9869,2008-05-23
Moderate Fund,0.9869,2008-05-24
Moderate Fund,0.9869,2008-05-25
Moderate Fund,0.9828,2008-05-26
Moderate Fund,0.9814,2008-05-27
Moderate Fund,0.983,2008-05-28
Moderate Fund,0.9841,2008-05-29
Moderate Fund,0.9859,2008-05-30
Moderate Fund,0.9859,2008-05-31
Moderate Fund,0.9859,2008-06-01
Moderate Fund,0.9859,2008-06-02
Moderate Fund,0.982,2008-06-03
Moderate Fund,0.9846,2008-06-04
Moderate Fund,0.9865,2008-06-05
Moderate Fund,0.9909,2008-06-06
Moderate Fund,0.9909,2008-06-07
Moderate Fund,0.9909,2008-06-08
Moderate Fund,0.9839,2008-06-09
Moderate Fund,0.9814,2008-06-10
Moderate Fund,0.9773,2008-06-11
Moderate Fund,0.9697,2008-06-12
Moderate Fund,0.9734,2008-06-13
Moderate Fund,0.9734,2008-06-14
Moderate Fund,0.9734,2008-06-15
Moderate Fund,0.9735,2008-06-16
Moderate Fund,0.9769,2008-06-17
Moderate Fund,0.9757,2008-06-18
Moderate Fund,0.9714,2008-06-19
Moderate Fund,0.9684,2008-06-20
Moderate Fund,0.9684,2008-06-21
Moderate Fund,0.9684,2008-06-22
Moderate Fund,0.9651,2008-06-23
Moderate Fund,0.9651,2008-06-24
Moderate Fund,0.9631,2008-06-25
Moderate Fund,0.9621,2008-06-26
Moderate Fund,0.9599,2008-06-27
Moderate Fund,0.9599,2008-06-28
Moderate Fund,0.9599,2008-06-29
Moderate Fund,0.9574,2008-06-30
Moderate Fund,0.9554,2008-07-01
Moderate Fund,0.9542,2008-07-02
Moderate Fund,0.9479,2008-07-03
Moderate Fund,0.9518,2008-07-04
Moderate Fund,0.9518,2008-07-05
