Scheme,Price,Date
Conservative Fund,0.9915,2008-03-09
Conservative Fund,0.9901,2008-03-10
Conservative Fund,0.9893,2008-03-11
Conservative Fund,0.992,2008-03-12
Conservative Fund,0.9922,2008-03-13
Conservative Fund,0.9914,2008-03-14
Conservative Fund,0.9914,2008-03-15
Conservative Fund,0.9914,2008-03-16
Conservative Fund,0.9897,2008-03-17
Conservative Fund,0.9916,2008-03-18
Conservative Fund,0.9933,2008-03-19
Conservative Fund,0.9931,2008-03-20
Conservative Fund,0.9931,2008-03-21
Conservative Fund,0.9931,2008-03-22
Conservative Fund,0.9931,2008-03-23
Conservative Fund,0.9931,2008-03-24
Conservative Fund,0.997,2008-03-25
Conservative Fund,0.9986,2008-03-26
Conservative Fund,0.998,2008-03-27
Conservative Fund,0.9965,2008-03-28
Conservative Fund,0.9965,2008-03-29
Conservative Fund,0.9965,2008-03-30
Conservative Fund,0.9988,2008-03-31
Conservative Fund,1.0009,2008-04-01
Conservative Fund,1.0025,2008-04-02
Conservative Fund,1.0051,2008-04-03
Conservative Fund,1.0051,2008-04-04
Conservative Fund,1.0051,2008-04-05
Conservative Fund,1.0051,2008-04-06
Conservative Fund,1.0071,2008-04-07
Conservative Fund,1.0061,2008-04-08
Conservative Fund,1.0042,2008-04-09
Conservative Fund,1.0024,2008-04-10
Conservative Fund,1.0028,2008-04-11
Conservative Fund,1.0028,2008-04-12
Conservative Fund,1.0028,2008-04-13
Conservative Fund,1.0011,2008-04-14
Conservative Fund,1.0024,2008-04-15
Conservative Fund,1.0032,2008-04-16
Conservative Fund,1.0061,2008-04-17
Conservative Fund,1.004,2008-04-18
Conservative Fund,1.004,2008-04-19
Conservative Fund,1.004,2008-04-20
Conservative Fund,1.0083,2008-04-21
Conservative Fund,1.0073,2008-04-22
Conservative Fund,1.007,2008-04-23
Conservative Fund,1.0077,2008-04-24
Conservative Fund,1.0077,2008-04-25
Conservative Fund,1.0077,2008-04-26
Conservative Fund,1.0077,2008-04-27
Conservative Fund,1.0093,2008-04-28
Conservative Fund,1.0098,2008-04-29
Conservative Fund,1.0111,2008-04-30
Conservative Fund,1.0115,2008-05-01
Conservative Fund,1.0142,2008-05-02
Conservative Fund,1.0142,2008-05-03
Conservative Fund,1.0142,2008-05-04
Conservative Fund,1.0158,2008-05-05
Conservative Fund,1.0142,2008-05-06
Conservative Fund,1.015,2008-05-07
Conservative Fund,1.0179,2008-05-08
Conservative Fund,1.0194,2008-05-09
Conservative Fund,1.0194,2008-05-10
Conservative Fund,1.0194,2008-05-11
Conservative Fund,1.021,2008-05-12
Conservative Fund,1.0214,2008-05-13
Conservative Fund,1.0208,2008-05-14
Conservative Fund,1.0219,2008-05-15
Conservative Fund,1.0231,2008-05-16
Conservative Fund,1.0231,2008-05-17
Conservative Fund,1.0231,2008-05-18
Conservative Fund,1.0237,2008-05-19
Conservative Fund,1.0243,2008-05-20
Conservative Fund,1.0221,2008-05-21
Conservative Fund,1.0173,2008-05-22
Conservative Fund,1.0161,2008-05-23
Conservative Fund,1.0161,2008-05-24
Conservative Fund,1.0161,2008-05-25
Conservative Fund,1.014,2008-05-26
Conservative Fund,1.0134,2008-05-27
Conservative Fund,1.0141,2008-05-28
Conservative Fund,1.0149,2008-05-29
Conservative Fund,1.0158,2008-05-30
Conservative Fund,1.0158,2008-05-31
Conservative Fund,1.0158,2008-06-01
Conservative Fund,1.0158,2008-06-02
Conservative Fund,1.0144,2008-06-03
Conservative Fund,1.0154,2008-06-04
Conservative Fund,1.0174,2008-06-05
Conservative Fund,1.0186,2008-06-06
Conservative Fund,1.0186,2008-06-07
Conservative Fund,1.0186,2008-06-08
Conservative Fund,1.0164,2008-06-09
Conservative Fund,1.015,2008-06-10
Conservative Fund,1.0119,2008-06-11
Conservative Fund,1.0082,2008-06-12
Conservative Fund,1.0095,2008-06-13
Conservative Fund,1.0095,2008-06-14
Conservative Fund,1.0095,2008-06-15
Conservative Fund,1.009,2008-06-16
Conservative Fund,1.0106,2008-06-17
Conservative Fund,1.0114,2008-06-18
Conservative Fund,1.0098,2008-06-19
Conservative Fund,1.007,2008-06-20
Conservative Fund,1.007,2008-06-21
Conservative Fund,1.007,2008-06-22
Conservative Fund,1.0065,2008-06-23
Conservative Fund,1.0075,2008-06-24
Conservative Fund,1.0068,2008-06-25
Conservative Fund,1.0072,2008-06-26
Conservative Fund,1.006,2008-06-27
Conservative Fund,1.006,2008-06-28
Conservative Fund,1.006,2008-06-29
Conservative Fund,1.0052,2008-06-30
Conservative Fund,1.0042,2008-07-01
Conservative Fund,1.0025,2008-07-02
Conservative Fund,0.999,2008-07-03
Conservative Fund,1.0021,2008-07-04
Conservative Fund,1.0021,2008-07-05
Conservative Fund,1.0021,2008-07-06
Conservative Fund,1.001,2008-07-07
Conservative Fund,1.0026,2008-07-08
Conservative Fund,1.0045,2008-07-09
Conservative Fund,1.0033,2008-07-10
Conservative Fund,1.0049,2008-07-11
Conservative Fund,1.0049,2008-07-12
Conservative Fund,1.0049,2008-07-13
Conservative Fund,1.0016,2008-07-14
Conservative Fund,1.0,2008-07-15
Conservative Fund,0.9983,2008-07-16
Conservative Fund,1.0012,2008-07-17
Conservative Fund,1.0027,2008-07-18
Conservative Fund,1.0027,2008-07-19
Conservative Fund,1.0027,2008-07-20
Conservative Fund,1.0045,2008-07-21
Conservative Fund,1.0039,2008-07-22
Conservative Fund,1.0074,2008-07-23
Conservative Fund,1.0113,2008-07-24
Conservative Fund,1.0094,2008-07-25
Conservative Fund,1.0094,2008-07-26
Conservative Fund,1.0094,2008-07-27
Conservative Fund,1.0077,2008-07-28
Conservative Fund,1.0074,2008-07-29
Conservative Fund,1.0108,2008-07-30
Conservative Fund,1.0159,2008-07-31
Conservative Fund,1.0143,2008-08-01
Conservative Fund,1.0143,2008-08-02
Conservative Fund,1.0143,2008-08-03
Conservative Fund,1.0139,2008-08-04
Conservative Fund,1.0114,2008-08-05
Conservative Fund,1.0167,2008-08-06
Conservative Fund,1.0192,2008-08-07
Conservative Fund,1.0186,2008-08-08
Conservative Fund,1.0186,2008-08-09
Conservative Fund,1.0186,2008-08-10
Conservative Fund,1.0221,2008-08-11
Conservative Fund,1.0213,2008-08-12
Conservative Fund,1.0213,2008-08-13
Conservative Fund,1.0207,2008-08-14
Conservative Fund,1.0215,2008-08-15
Conservative Fund,1.0215,2008-08-16
Conservative Fund,1.0215,2008-08-17
Conservative Fund,1.0209,2008-08-18
Conservative Fund,1.0192,2008-08-19
Conservative Fund,1.0183,2008-08-20
Conservative Fund,1.0191,2008-08-21
Conservative Fund,1.0186,2008-08-22
Conservative Fund,1.0186,2008-08-23
Conservative Fund,1.0186,2008-08-24
Conservative Fund,1.0213,2008-08-25
Conservative Fund,1.0216,2008-08-26
Conservative Fund,1.0231,2008-08-27
Conservative Fund,1.0231,2008-08-28
